Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
Cap Gaspé,CAN 087,- -,Quebec,48° 45.1' N,064° 9.8' W,Map,FN78ws,-,-
"Cap Lumiere/Richibucto Head Richibucto Head/Cap Lumiere, NB",CAN 430,- -,New Brunswick,-,-,-,-,-,2
Cap Rond (Cape Breton Island),CAN 1367,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Cap Saint-Joseph,CAN 1322,- -,Quebec,47° 26.9' N,070° 21.9' W,Map,FN47tk,-,-
Cap-aux-Corbeaux Range Front,CAN 1323,- -,Quebec,47° 26.1' N,070° 25.7' W,Map,FN47sk,-,1
Cap-aux-Corbeaux Range Rear,CAN 1324,- -,Quebec,47° 26.3' N,070° 25.6' W,Map,FN47sk,-,1
Cape Anguille,CAN 651,- -,Newfoundland and Labrador,47° 54.0' N,059° 25.0' W,Map,GN07gv,-,-
Cape Bauld,CAN 652,- -,Newfoundland and Labrador,51° 38.0' N,055° 26.0' W,Map,GO21gp,-,-
Cape Beale,CAN 091,- -,British Columbia,48° 48.0' N,125° 13.0' W,Map,CN78jt,-,2
Cape Bear,CAN 092,Hist -,Prince Edward Island,46° 0.2' N,062° 27.6' W,Map,FN86sa,-,11
Cape Bonavista,CAN 093,Hist -,Newfoundland and Labrador,48° 42.0' N,053° 5.0' W,Map,GN38lq,-,1
Cape Croker (Georgian Bay),CAN 094,- -,Ontario,-,-,-,-,-,-
Cape d'Or,CAN 095,- -,Nova Scotia,45° 18.0' N,064° 47.0' W,Map,FN75oh,-,-
Cape Enrage,CAN 096,- -,New Brunswick,-,-,-,-,-,3
"Cape Forchu/Yarmouth Yarmouth/Cape Forchu, NS",CAN 097,- -,Nova Scotia,43° 48.0' N,066° 9.0' W,Map,FN63wt,-,4
Cape George (Antigonish),CAN 098,- -,Nova Scotia,45° 52.0' N,061° 54.0' W,Map,FN95bu,-,-
Cape George (Richmond),CAN 099,- -,Nova Scotia,45° 44.0' N,060° 49.0' W,Map,FN95or,-,-
Un-assigned No longer an ARLHS light,CAN 706,- -,New Brunswick,-,-,-,-,-,1
Cape Mudge,CAN 100,- -,British Columbia,49° 59.9' N,125° 11.7' W,Map,CN79jx,-,2
Cape Negro Island,CAN 102,Hist -,Nova Scotia,43° 30.0' N,065° 21.0' W,Map,FN73hl,-,1
Cape Norman,CAN 679,- -,Newfoundland and Labrador,51° 38.0' N,055° 55.0' W,Map,GO21bp,-,-
Cape North (New),CAN 103,- -,Nova Scotia,47° 2.0' N,060° 24.0' W,Map,FN97ta,-,-
Cape North (Old),CAN 865H,Hist -,Nova Scotia,47° 2.0' N,060° 24.0' W,Map,FN97ta,-,-
"Cape North (Old) (Museum of Science and Technology/Ottawa) Cape North (Old), NS H",CAN 865M,Hist Museum,Nova Scotia,45° 24.1' N,075° 37.4' W,Map,FN25ej,-,11
Cape Pine,CAN 653,- -,Newfoundland and Labrador,46° 1.0' N,053° 32.0' W,Map,GN36fa,-,-
Cape Porcupine Range Front (Cape Breton Island),CAN 1310,Hist -,Nova Scotia,45° 39.0' N,061° 25.0' W,Map,FN95hp,-,-
Cape Porcupine Range Rear (Cape Breton Island),CAN 1311,Hist -,Nova Scotia,45° 39.0' N,061° 25.0' W,Map,FN95hp,-,-
Cape Race (New),CAN 118,- -,Newfoundland and Labrador,46° 40.0' N,053° 4.0' W,Map,GN36lp,-,1
Cape Ray (Old),CAN 992,Hist -,Newfoundland and Labrador,47° 37.3' N,059° 18.2' W,Map,GN07io,-,-
"Cape Ray, New",CAN 645,- -,Newfoundland and Labrador,47° 37.3' N,059° 18.2' W,Map,GN07io,-,2
Cape Robert (Manitoulin Island),CAN 104,Hist -,Ontario,-,-,-,-,-,-
Cape Roseway,CAN 105,Hist -,Nova Scotia,43° 37.0' N,065° 16.0' W,Map,FN73io,-,-
Cape Sable,CAN 106,- -,Nova Scotia,43° 23.0' N,065° 37.0' W,Map,FN73ej,-,-
Cape Scott,CAN 107,Hist -,British Columbia,50° 47.0' N,128° 26.0' W,Map,CO50ss,-,-
Cape Sharp,CAN 108,Hist -,Nova Scotia,45° 22.0' N,064° 24.0' W,Map,FN75ti,-,1
Cape Spear (New),CAN 148,Hist -,Newfoundland and Labrador,47° 31.0' N,052° 37.0' W,Map,GN37qm,-,1
Cape Spear (Old),CAN 748,- -,Newfoundland and Labrador,47° 31.0' N,052° 37.0' W,Map,GN37qm,-,-
Cape Spencer,CAN 109,- -,New Brunswick,-,-,-,-,-,2
Cape St. Francis,CAN 835,- -,Newfoundland and Labrador,47° 49.0' N,052° 47.0' W,Map,GN37ot,-,-
Cape St. James (Queen Charlotte Islands),CAN 110,Hist -,British Columbia,51° 56.0' N,131° 0.0' W,Map,CO41mw,-,-
Cape St. Lawrence (Cape Breton Island),CAN 1368,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Cape St. Mary's,CAN 721,Hist -,Newfoundland and Labrador,46° 49.0' N,054° 12.0' W,Map,GN26vt,-,-
Cape St. Mary's,CAN 111,- -,Nova Scotia,44° 5.0' N,066° 13.0' W,Map,FN64vb,-,1
"Cape Stanhope/Covehead Harbour Covehead Harbour/Cape Stanhope, PE",CAN 150,Hist -,Prince Edward Island,46° 26.0' N,063° 9.0' W,Map,FN86kk,-,2
Cape Tormentine Entrance Rear Range,CAN 904,Hist -,New Brunswick,-,-,-,-,-,1
Cape Tormentine Inner Range,CAN 605,- -,New Brunswick,-,-,-,-,-,1
Cape Tormentine Pier Outer Range,CAN 112,- -,New Brunswick,-,-,-,-,-,2
Cape Tryon (New),CAN 113,- -,Prince Edward Island,46° 32.0' N,063° 30.0' W,Map,FN86fm,-,3
Cape Tryon (Old),CAN 771,Hist -,Prince Edward Island,46° 32.0' N,063° 30.0' W,Map,FN86fm,-,3
Cape Whittle Île aux Cormorants,CAN 776,Hist -,Quebec,50° 9.8' N,060° 3.6' W,Map,FO90xd,-,-
Capilano (Vancouver Harbour),CAN 115,Hist -,British Columbia,-,-,-,-,-,-
Caraquet Front Range,CAN 116,Hist -,New Brunswick,-,-,-,-,-,-
Caraquet Island,CAN 893,Hist -,New Brunswick,-,-,-,-,-,-
Caraquet Rear Range (New),CAN 1344,- -,New Brunswick,47° 49.0' N,064° 50.0' W,Map,FN77ot,-,-
Caraquet Rear Range (Old),CAN 707,Hist -,New Brunswick,47° 49.0' N,064° 50.0' W,Map,FN77ot,-,-
Cardigan River,CAN 1254,Hist -,Prince Edward Island,-,-,-,-,-,-
Carey Point Range Rear (Great Bras d'Or),CAN 1285,Hist -,Nova Scotia,46° 18.0' N,060° 25.0' W,Map,FN96th,-,-
Caribou (Gull Island),CAN 119,- -,Nova Scotia,45° 46.0' N,062° 41.0' W,Map,FN85ps,-,2
Caribou Harbour Inner Range Front,CAN 1002,Hist -,Nova Scotia,45° 44.0' N,062° 41.0' W,Map,FN85pr,-,-
Caribou Harbour Inner Range Rear,CAN 1003,- -,Nova Scotia,45° 44.0' N,062° 41.0' W,Map,FN85pr,-,-
Caribou Island (Lake Superior),CAN 631,- -,Ontario,47° 20.0' N,085° 49.0' W,Map,EN77ci,-,-
Carleton/Point Tracadigache,CAN 964,- -,Quebec,48° 5.2' N,066° 7.5' W,Map,FN68wc,-,1
Carling Rock (Parry Sound) (Georgian Bay),CAN 1055,Hist -,Ontario,-,-,-,-,-,-
Carmanah Point,CAN 120,Hist -,British Columbia,48° 37.0' N,124° 45.0' W,Map,CN78oo,-,-
"Carousel Island/Île du Corossol Île du Corossol/Carousel Island, QC",CAN 239,- -,Quebec,50° 5.3' N,066° 22.6' W,Map,FO60tc,-,-
"Carter Island/Lockeport Harbour Lockeport Harbor/Carter Island, NS",CAN 121,Hist -,Nova Scotia,43° 42.3' N,065° 6.1' W,Map,FN73kq,-,1
Cascumpeque (New),CAN 122,Hist -,Prince Edward Island,46° 48.0' N,064° 2.0' W,Map,FN76xt,-,-
Cascumpeque (Old),CAN 808,- -,Prince Edward Island,46° 48.0' N,064° 2.0' W,Map,FN76xt,-,-
Caveau Point Front Range (Old),CAN 1314,Hist -,Nova Scotia,-,-,-,-,-,-
Caveau Point Rear Range,CAN 123,Hist -,Nova Scotia,46° 39.0' N,061° 0.0' W,Map,FN96lp,-,1
Cedars - The,CAN 124,Hist -,New Brunswick,-,-,-,-,-,-
Centre Brother Island (Bay Of Quinte) (Lake Ontario),CAN 1056,Hist -,Ontario,-,-,-,-,-,1
Chambly Basin Rear Range (Richelieu River),CAN 1178,Hist -,Quebec,-,-,-,-,-,-
Chambly Canton Front Range (Richelieu River),CAN 1179,Hist -,Quebec,-,-,-,-,-,-
Chambly Canton Rear Range (Richelieu River),CAN 1180,Hist -,Quebec,-,-,-,-,-,-
Chamcook,CAN 905,Hist -,New Brunswick,-,-,-,-,-,-
Champlain Upper Rear Range (St. Lawrence River),CAN 1181,- -,Quebec,-,-,-,-,-,-
Chance Harbour,CAN 125,Hist -,New Brunswick,-,-,-,-,-,-
Change Islands,CAN 836,Hist -,Newfoundland and Labrador,49° 34.0' N,054° 25.0' W,Map,GN29sn,-,-
"Channel Head/Port aux Basques Port aux Basques/Channel Head, NF",CAN 654,- -,Newfoundland and Labrador,47° 34.0' N,059° 7.0' W,Map,GN07kn,-,-
Chantry Island (Lake Huron),CAN 619,- -,Ontario,44° 29.4' N,081° 24.1' W,Map,EN94hl,-,3
Charlos Harbour Range Front,CAN 892,Hist -,Nova Scotia,-,-,-,-,-,-
Charlos Harbour Range Rear,CAN 637,- -,Nova Scotia,45° 14.0' N,061° 19.0' W,Map,FN95if,-,-
Château da Silva (Lake Memphremagog),CAN 1182,Hist -,Quebec,-,-,-,-,-,-
Chatham Point,CAN 132,- -,British Columbia,50° 20.0' N,125° 26.0' W,Map,CO70gi,-,-
Chebucto Head (New),CAN 133,Hist -,Nova Scotia,44° 30.0' N,063° 31.0' W,Map,FN84fm,-,1
Chebucto Head (Old),CAN 1383,Hist -,Nova Scotia,-,-,-,-,-,-
Chenal Ecarté Range Front (St. Clair River),CAN 1348,- -,Ontario,42° 38.0' N,082° 30.0' W,Map,EN82sp,-,-
Chenal Ecarté Range Rear (St. Clair River),CAN 1349,- -,Ontario,42° 38.0' N,082° 30.0' W,Map,EN82sp,-,-
Cherry Island,CAN 950,Hist -,Quebec,45° 8.0' N,074° 23.9' W,Map,FN25td,-,2
"Cherry Islet Cherry Island, H4152",CAN 134,- -,New Brunswick,44° 55.1' N,066° 58.0' W,Map,FN64mw,-,-
Chéticamp Harbour (Cape Breton Island),CAN 135,Hist -,Nova Scotia,46° 38.0' N,061° 1.0' W,Map,FN96lp,NA-010,-
Chéticamp Harbour Rear Range (Cape Breton Island),CAN 1369,Hist -,Nova Scotia,46° 38.0' N,061° 1.0' W,Map,FN96lp,NA-010,-
Chéticamp Inner Harbour Sector (Cape Breton Island),CAN 640,- -,Nova Scotia,46° 38.0' N,061° 1.0' W,Map,FN96lp,NA-010,-
Chippawa (Niagara River),CAN 1057,Hist -,Ontario,-,-,-,-,-,-
Christian Island,CAN 136,- -,Ontario,44° 47.2' N,080° 9.4' W,Map,EN94ws,-,1
"Chrome Island/Yellow Island Yellow Island/Chrome Island, BC",CAN 137,- -,British Columbia,49° 28.0' N,124° 41.0' W,Map,CN79pl,-,1
Church Point,CAN 138,Hist -,Nova Scotia,-,-,-,-,-,1
"Church Point/Indian Point Front Range/Pointe à Jérome Front Range (Bouctouche) Indian Point Front Range/Pointe à Jérome Front Range/Church Point (Bouctouche), NB : Pointe à Jérome Front Range/Church Point/Indian Point Front Range (Bouctouche), NB",CAN 729,- -,New Brunswick,-,-,-,-,-,1
Chute à Blondeau Front Range (Ottawa River),CAN 1183,Hist -,Quebec,-,-,-,-,-,-
Chute à Blondeau Rear Range (Ottawa River),CAN 1184,Hist -,Quebec,-,-,-,-,-,-
Ciboux Island,CAN 139,- -,Nova Scotia,46° 23.0' N,060° 22.0' W,Map,FN96tj,-,-
Clapperton Island,CAN 140,- -,Ontario,-,-,-,-,-,-
Clarke Cove Front Range (Bras d'Or Lake),CAN 1192,Hist -,Nova Scotia,-,-,-,-,-,-
Clarke Cove Rear Range (Bras d'Or Lake),CAN 1193,Hist -,Nova Scotia,-,-,-,-,-,-
Cobourg East Pierhead,CAN 755,- -,Ontario,43° 57.1' N,078° 9.9' W,Map,FN03ww,-,2
Cobourg Harbour 'T' Pier,CAN 1403,- -,Ontario,43° 57.4' N,078° 9.9' W,Map,FN03ww,-,-
Cobourg West Pierhead,CAN 1402,- -,Ontario,43° 57.1' N,078° 9.9' W,Map,FN03ww,-,-
Cocagne Range Front,CAN 141,- -,New Brunswick,46° 20.1' N,064° 36.9' W,Map,FN76qi,-,1
Cocagne Range Rear (Northumberland Strait),CAN 1290,- -,New Brunswick,46° 20.0' N,064° 37.0' W,Map,FN76qh,-,2
Coffin Island,CAN 142,- -,Nova Scotia,44° 2.0' N,064° 38.0' W,Map,FN74qa,-,-
Colchester Reef,CAN 143,Hist -,Ontario,41° 56.0' N,082° 53.0' W,Map,EN81nw,-,-
Coldspring Head,CAN 144,- -,Nova Scotia,45° 58.0' N,063° 52.0' W,Map,FN85bx,-,3
Cole Harbour Front Range (Tor Bay),CAN 1194,Hist -,Nova Scotia,-,-,-,-,-,-
Cole Harbour Rear Range (Tor Bay),CAN 1195,Hist -,Nova Scotia,-,-,-,-,-,-
Cole Shoal (St. Lawrence River),CAN 1336,Hist -,Ontario,-,-,-,-,-,1
Collingwood Breakwater (Georgian Bay) H,CAN 1058,Hist -,Ontario,-,-,-,-,-,-
Collingwood Inner Range Rear (Georgian Bay),CAN 1327,Hist -,Ontario,44° 30.0' N,080° 14.0' W,Map,EN94vm,-,1
"Collingwood Outer Range Front/Collingwood Shore Range Front (Georgian Bay) Collingwood Shore Range Front/Collingwood Outer Range Front (Georgian Bay), ON H",CAN 1328,Hist -,Ontario,44° 30.0' N,080° 14.0' W,Map,EN94vm,-,2
"Collingwood Outer Range Rear/Collingwood Shore Range Rear (Georgian Bay) Collingwood Shore Range Rear/Collingwood Outer Range Rear (Georgian Bay), ON H",CAN 1329,Hist -,Ontario,44° 30.0' N,080° 14.0' W,Map,EN94vm,-,2
Colombier Island,CAN 837,- -,Newfoundland and Labrador,47° 35.0' N,058° 54.0' W,Map,GN07nn,-,-
"Conche/Silver Point Silver Point/Conche, NF",CAN 749,- -,Newfoundland and Labrador,50° 53.0' N,055° 54.0' W,Map,GO20bv,-,-
Contrecoeur Course Range Front (St. Lawrence River),CAN 965,Hist -,Quebec,-,-,-,-,-,-
Contrecoeur-Verchères Front Range (St. Lawrence River),CAN 1260,- -,Quebec,-,-,-,-,-,-
Conway Inlet,CAN 146,- -,Prince Edward Island,46° 39.0' N,063° 53.0' W,Map,FN86bp,-,-
Cooks Point Light 68,CAN 1456,- -,Ontario,44° 55.9' N,075° 4.7' W,Map,FN24lw,-,4
Coppermine Point,CAN 147,- -,Ontario,-,-,-,-,-,1
Corbeil Point (Lake Superior),CAN 1028,Hist -,Ontario,-,-,-,-,-,-
Corunna Range Front (St. Clair River),CAN 1350,Hist -,Ontario,-,-,-,-,-,-
"Corunna Range Rear (Moore Museum) Corunna Range Rear (St. Clair River), ON H",CAN 1029M,Hist Museum,Ontario,-,-,-,-,-,-
Corunna Range Rear (St. Clair River),CAN 1029H,Hist -,Ontario,-,-,-,-,-,-
Coteau Landing (St. Lawrence River),CAN 966,Hist -,Quebec,-,-,-,-,-,-
"Country Island/Green Island (Tor Bay) Green Island/Country Island (Tor Bay), NS",CAN 752,- -,Nova Scotia,45° 6.0' N,061° 33.0' W,Map,FN95fc,-,-
"Courbe Maskinongé/Maskinongé Curve (Lac Saint-Pierre) Maskinongé Curve/Courbe Maskinongé (Lac Saint-Pierre), QC",CAN 1263,- -,Quebec,-,-,-,-,-,-
Course de Saint-Antoine Front Range,CAN 1247,- -,Quebec,46° 40.0' N,071° 35.0' W,Map,FN46ep,-,1
Course de Saint-Antoine Rear Range,CAN 1248,- -,Quebec,46° 40.0' N,071° 34.9' W,Map,FN46fq,-,1
Courtenay Bay Breakwater,CAN 906,- -,New Brunswick,45° 15.0' N,066° 3.0' W,Map,FN65xf,-,1
Cove Island (Lake Huron),CAN 149,- -,Ontario,-,-,-,-,-,-
Covehead Range Front,CAN 151,Hist -,Prince Edward Island,46° 25.0' N,063° 9.0' W,Map,FN86kk,-,2
Covehead Range Rear,CAN 152,Hist -,Prince Edward Island,46° 25.0' N,063° 9.0' W,Map,FN86kk,-,-
Cow Head,CAN 680,- -,Newfoundland and Labrador,49° 55.0' N,057° 48.0' W,Map,GN19cv,-,-
"Cowee Island/Île du Grand Caouis Île du Grand Caouis/Cowee Island, QC",CAN 240,- -,Quebec,49° 49.6' N,067° 0.4' W,Map,FN69lt,-,-
Cox Point,CAN 907,Hist -,New Brunswick,-,-,-,-,-,-
Cox Reef (Lake Winnipeg),CAN 844,- -,Manitoba,52° 19.0' N,097° 13.0' W,Map,EO12jh,-,-
Cranberry Island,CAN 153,Hist -,Nova Scotia,45° 19.0' N,060° 56.0' W,Map,FN95mh,-,-
Crichton Head/Creighton Head (Crichton Island - Cape Breton Island),CAN 1267,Hist -,Nova Scotia,45° 31.0' N,061° 6.0' W,Map,FN95km,-,-
Cross Island,CAN 154,- -,Nova Scotia,44° 19.0' N,064° 10.0' W,Map,FN74vh,-,-
Croucher's Island,CAN 898,Hist -,Nova Scotia,44° 38.0' N,063° 58.0' W,Map,FN84ap,-,-
Dalhousie Deep Water Wharf,CAN 724,Hist -,New Brunswick,-,-,-,-,-,-
Darnley Basin Range Front,CAN 155,Hist -,Prince Edward Island,-,-,-,-,-,1
Darnley Basin Range Rear,CAN 156,- -,Prince Edward Island,-,-,-,-,-,1
Dartmouth Yacht Harbour (Halifax Harbour),CAN 629,- -,Nova Scotia,44° 42.0' N,063° 37.0' W,Map,FN84eq,-,-
"Davieaux Island (Michipicoten Island, Lake Superior)",CAN 559,Hist -,Ontario,-,-,-,-,-,-
Dawson Point (Hermitage Bay),CAN 838,- -,Newfoundland and Labrador,47° 38.0' N,056° 9.0' W,Map,GN17wp,-,-
De Watteville Rear Range (St. Lawrence Seaway),CAN 1170,- -,Ontario,-,-,-,-,-,1
Deep River Harbour,CAN 1449,- -,Ontario,46° 6.4' N,077° 29.2' W,Map,FN16gc,-,1
Deep River Islet (Ottawa River),CAN 993,- -,Ontario,46° 1.0' N,077° 17.0' W,Map,FN16ia,-,-
Deer Point,CAN 157,- -,New Brunswick,-,-,-,-,-,1
Denman Island-West Side,CAN 741,- -,British Columbia,49° 32.0' N,124° 49.0' W,Map,CN79om,-,-
Depot Island (Parry Sound) (Georgian Bay),CAN 1059,Hist -,Ontario,-,-,-,-,-,-
Derby Point/Piper Cove (Barra Strait),CAN 1196,Hist -,Nova Scotia,-,-,-,-,-,-
Desjardinsville,CAN 1450,- -,Quebec,45° 50.7' N,077° 6.9' W,Map,FN15ku,-,1
Devil's Island East (Halifax Harbour),CAN 158,Hist -,Nova Scotia,44° 35.0' N,063° 28.0' W,Map,FN84gn,-,1
Devil's Island West (Halifax Harbour),CAN 1197,Hist -,Nova Scotia,-,-,-,-,-,-
Dewattville Range Front (St. Lawrence River),CAN 1060,Hist -,Ontario,-,-,-,-,-,1
Dickinson Landing (St. Lawrence River),CAN 1061,Hist -,Ontario,44° 56.7' N,075° 4.0' W,Map,FN24lw,-,5
Digby Gut,CAN 159,Hist -,Nova Scotia,44° 41.0' N,065° 46.0' W,Map,FN74cq,-,1
Digby Wharf,CAN 725,Hist -,Nova Scotia,-,-,-,-,-,-
Dipper Harbour,CAN 908,Hist -,New Brunswick,-,-,-,-,-,-
Discovery Island,CAN 160,- -,British Columbia,48° 26.0' N,123° 13.0' W,Map,CN88jk,-,-
Dixie Range Rear,CAN 1407,- -,Quebec,45° 25.3' N,073° 44.7' W,Map,FN35dk,-,-
Dixon Point Front Range,CAN 708,Hist -,New Brunswick,-,-,-,-,-,1
Dixon Point Rear Range,CAN 161,- -,New Brunswick,-,-,-,-,-,1
Domaine Range Front (St. Lawrence River),CAN 967,Hist -,Quebec,-,-,-,-,-,-
Domaine Range Rear (St. Lawrence River),CAN 968,Hist -,Quebec,-,-,-,-,-,-
Dorval (St. Lawrence River),CAN 969,Hist -,Quebec,-,-,-,-,-,-
Double Island (Labrador),CAN 681,- -,Newfoundland and Labrador,52° 15.0' N,055° 33.0' W,Map,GO22fg,-,-
Douglas Island,CAN 909,Hist -,New Brunswick,-,-,-,-,-,-
Douse Point Front Range (Orwell Cove),CAN 1255,Hist -,Prince Edward Island,-,-,-,-,-,-
Douse Point Rear Range (Orwell Cove),CAN 1256,Hist -,Prince Edward Island,-,-,-,-,-,-
Dover (Callaghan Island),CAN 1384,Hist -,Nova Scotia,-,-,-,-,-,-
"Drew's Head/Lighthouse Point Lighthouse Point/Drew's Head, NB",CAN 162,- -,New Brunswick,-,-,-,-,-,1
Dryad Point,CAN 163,- -,British Columbia,52° 11.0' N,128° 8.0' W,Map,CO52we,-,-
"East End Long Island/Long Island East End Long Island East End/East End Long Island, NF",CAN 682,- -,Newfoundland and Labrador,49° 36.0' N,055° 34.0' W,Map,GN29fo,-,-
East Ironbound Island,CAN 164,- -,Nova Scotia,44° 26.0' N,064° 5.0' W,Map,FN74wk,-,-
East Point,CAN 165,- -,Prince Edward Island,46° 27.0' N,061° 58.0' W,Map,FN96ak,-,2
"East Point/Saturna Island Saturna Island/East Point, BC",CAN 448,- -,British Columbia,48° 47.0' N,123° 3.0' W,Map,CN88ls,-,-
"East Quoddy Head/Head Harbour Head Harbour/East Quoddy Head, NB",CAN 166,- -,New Brunswick,47° 57.0' N,066° 54.0' W,Map,FN67nw,-,5
"East River Front Range/Trenton Front Range Trenton Front Range/East River Front Range, NS",CAN 505,- -,Nova Scotia,45° 37.0' N,062° 39.0' W,Map,FN85qo,-,2
Eatonville (Eatonville River),CAN 1214,Hist -,Nova Scotia,-,-,-,-,-,-
Eddy Point,CAN 167,Hist -,Nova Scotia,45° 31.0' N,061° 15.0' W,Map,FN95im,-,-
Eddy Point Range Front,CAN 1274,Hist -,Nova Scotia,45° 31.0' N,061° 15.0' W,Map,FN95im,-,-
Eddy Point Range Rear,CAN 1275,Hist -,Nova Scotia,45° 31.0' N,061° 15.0' W,Map,FN95im,-,-
Egg Island,CAN 168,- -,Nova Scotia,44° 40.0' N,062° 52.0' W,Map,FN84nq,-,1
Egg Island,CAN 740,- -,British Columbia,51° 15.0' N,127° 51.0' W,Map,CO61bg,-,-
"Egg Island (New)/Scotch Bonnet Island (New) (Lake Ontario) Scotch Bonnet Island (New) Egg Island (New) (Lake Ontario), ON",CAN 790,- -,Ontario,43° 54.0' N,077° 32.5' W,Map,FN13fv,-,1
"Egg Island (Old)/Scotch Bonnet Island (Old) (Lake Ontario) Scotch Bonnet Island (Old) Egg Island (Old) (Lake Ontario), ON",CAN 791,- -,Ontario,43° 54.0' N,077° 32.5' W,Map,FN13fv,-,1
Egmont Bay Wharf,CAN 169,Hist -,Prince Edward Island,46° 26.0' N,064° 7.0' W,Map,FN76wk,-,-
Enragee Point,CAN 170,Hist -,Nova Scotia,46° 39.0' N,061° 2.0' W,Map,FN96lp,-,2
Entrance Island,CAN 171,- -,British Columbia,49° 13.0' N,123° 49.0' W,Map,CN89cf,-,-
"Entry Island/Ile d'Entrée (Magdalen Islands) Ile d'Entrée/Entry Island (Magdalen Islands), QC",CAN 777,- -,Quebec,47° 16.1' N,061° 42.3' W,Map,FN97dg,-,-
Estevan Point,CAN 173,Hist -,British Columbia,49° 22.0' N,126° 32.0' W,Map,CN69ri,-,-
False Ducks (New) (Lake Ontario),CAN 545,- -,Ontario,43° 57.0' N,076° 48.0' W,Map,FN13ow,-,1
False Ducks (Old) (Lake Ontario),CAN 864H,Hist -,Ontario,43° 57.0' N,076° 48.0' W,Map,FN13ow,-,-
"False Ducks (Old) (Mariners Memorial Park and Museum) False Ducks (Old) (Lake Ontario), ON H",CAN 864M,Hist Museum,Ontario,43° 55.3' N,077° 3.1' W,Map,FN13lw,-,1
"Fame Point/Pointe à la Renommée (Gulf of St. Lawrence) Pointe à la Renommée/Fame Point (Gulf of St. Lawrence), QC",CAN 392,- -,Quebec,49° 6.5' N,064° 36.2' W,Map,FN79qc,-,-
Fanjoy's Point,CAN 174,Hist -,New Brunswick,-,-,-,-,-,-
"Father Point/Pointe-au-Père (1859 tower) Pointe-au-Père/Father Point (1859 tower), QC H",CAN 1353,Hist -,Quebec,48° 31.0' N,068° 28.0' W,Map,FN58sm,-,-
"Father Point/Pointe-au-Père (1867 tower) Pointe-au-Père/Father Point (1867 tower), QC H",CAN 1354,Hist -,Quebec,48° 31.0' N,068° 28.0' W,Map,FN58sm,-,-
"Father Point/Pointe-au-Père (1909 Concrete Tower) Pointe-au-Père/Father Point (1909 Concrete Tower), QC",CAN 394,- -,Quebec,48° 30.9' N,068° 28.0' W,Map,FN58sm,-,-
"Father Point/Pointe-au-Père (1975 Skeleton Tower) Pointe-au-Père/Father Point (1975 Skeleton Tower), QC",CAN 1355,- -,Quebec,48° 31.0' N,068° 28.0' W,Map,FN58sm,-,-
"Ferolle Point/New Ferolle Peninsula New Ferolle Peninsula/Ferolle Point, NF",CAN 655,Hist -,Newfoundland and Labrador,51° 1.0' N,057° 6.0' W,Map,GO11ka,-,-
Ferris Island (Lake Of The Woods),CAN 1062,Hist -,Ontario,-,-,-,-,-,-
Ferryland Head,CAN 656,- -,Newfoundland and Labrador,47° 1.0' N,052° 51.0' W,Map,GN37na,-,1
Fiddle Reef,CAN 175,- -,British Columbia,48° 26.0' N,123° 17.0' W,Map,CN88ik,-,-
Fifty Mile Point Light (marker Channel Light),CAN 1440,- -,-,-,-,-,-,-,2
First Narrows (Vancouver Harbour),CAN 415,Hist -,British Columbia,49° 19.0' N,123° 8.0' W,Map,CN89kh,-,-
Fisgard (Esquimalt Harbour),CAN 176,- -,British Columbia,48° 26.0' N,123° 27.0' W,Map,CN88gk,-,1
"Fish Fluke Point/Grand Harbour Grand Harbour/Fish Fluke Point, NB",CAN 709,- -,New Brunswick,-,-,-,-,-,1
Fish Island,CAN 770,Hist -,Prince Edward Island,-,-,-,-,-,-
Fisherman's Harbour (new),CAN 1426,- -,Nova Scotia,-,-,-,-,-,-
Fisherman's Harbour (Old),CAN 177,Hist -,Nova Scotia,45° 7.0' N,061° 41.0' W,Map,FN95dc,-,1
Fishing Cove (Breakwater),CAN 178,- -,Prince Edward Island,46° 24.0' N,064° 8.0' W,Map,FN76wj,-,-
"Fishing Point (New)/Pugwash (New) Pugwash (New)/Fishing Point (New), NS",CAN 419,Hist -,Nova Scotia,45° 52.0' N,063° 41.0' W,Map,FN85du,-,2
"Fishing Point (Old)/Pugwash (Old) Pugwash (Old)/Fishing Point (Old), NS",CAN 611,- -,Nova Scotia,45° 52.0' N,063° 41.0' W,Map,FN85du,-,1
"Fishing Point/Fox Point Fox Point/Fishing Point, NF",CAN 684,- -,Newfoundland and Labrador,51° 21.0' N,055° 33.0' W,Map,GO21fi,-,-
Five Islands,CAN 179,Hist -,Nova Scotia,-,-,-,-,-,1
"Flat Island/Ile Plate Île Plate/Flat Island, QC H",CAN 242,Hist -,Quebec,50° 45.2' N,058° 45.4' W,Map,GO00os,-,-
Flint Island,CAN 180,- -,Nova Scotia,46° 11.0' N,059° 46.0' W,Map,GN06ce,-,-
Flower Pot Island (Georgian Bay),CAN 181,Hist -,Ontario,45° 18.0' N,081° 37.0' W,Map,EN95eh,-,-
"Flower's Cove/Flower's Island Flower's Island/Flower's Cove, NF",CAN 657,- -,Newfoundland and Labrador,51° 18.0' N,056° 45.0' W,Map,GO11ph,-,-
